Scale, N, Approximate Area, Relative Deviation
1.5, 32100, 0.99561, 0.0540945
1.5, 32600, 0.939409, 0.00540842
1.5, 33100, 0.913984, 0.0323272
1.5, 33600, 0.932934, 0.0122631
1.5, 34100, 0.992385, 0.0506795
1.5, 34600, 0.91988, 0.0260846
1.5, 35100, 0.907399, 0.0392982
1.5, 35600, 0.924764, 0.020914
1.5, 36100, 0.947706, 0.00337642
1.5, 36600, 0.968229, 0.0251048
1.5, 37100, 0.938081, 0.00681394
1.5, 37600, 0.937824, 0.00708622
1.5, 38100, 0.932981, 0.0122143
1.5, 38600, 0.949231, 0.00499025
1.5, 39100, 1.00143, 0.0602557
1.5, 39600, 0.921946, 0.0238973
1.5, 40100, 0.951909, 0.00782564
1.5, 40600, 0.92025, 0.0256922
